CS110,CS111,CS301,CS302,CS311,CS361,class
74,72,81,87,95,90,B
84,98,70,81,75,91,B
75,91,93,93,94,71,B
98,91,75,84,86,70,B
71,95,75,92,74,84,B
98,82,89,70,87,84,B
77,97,79,79,95,76,B
77,95,84,84,74,86,B
86,84,77,77,99,99,B
73,94,81,88,90,99,B
94,85,72,91,72,70,B
86,100,91,81,92,93,A
88,95,74,98,97,93,A
76,75,75,97,77,75,C
84,85,76,74,96,76,B
84,98,72,76,100,99,B
92,87,87,90,71,77,B
100,84,92,87,88,75,B
99,73,85,82,85,78,B
98,93,99,96,97,86,A
72,92,91,79,90,77,B
99,98,90,92,79,75,B
91,90,82,100,79,94,B
78,96,100,99,92,88,A
76,79,96,97,79,72,B
88,94,76,91,82,90,B
78,98,74,97,83,78,B
95,95,70,73,89,73,B
97,74,92,92,81,94,B
96,94,100,70,100,93,A
92,73,75,99,84,94,B
73,76,80,90,100,88,B
91,83,86,88,86,86,B
85,97,80,89,85,96,B
82,70,81,81,93,76,B
82,90,81,71,75,94,B
87,80,96,83,95,93,B
70,90,90,97,74,70,B
96,73,90,96,79,94,B
79,86,87,90,77,99,B
74,75,76,89,94,95,B
77,100,89,73,74,96,B
71,94,95,70,82,78,B
76,97,83,77,93,93,B
90,88,73,97,93,89,B
83,70,82,71,82,79,C
87,91,84,71,100,76,B
88,97,86,87,98,88,A
97,84,87,93,93,72,B
91,90,70,80,73,90,B
98,83,86,91,86,97,A
94,80,73,96,92,95,B
89,83,76,83,83,83,B
95,88,96,86,70,71,B
75,91,73,89,87,87,B
74,78,85,95,86,78,B
79,99,84,75,81,93,B
75,78,81,97,91,90,B
83,73,89,96,87,92,B
72,88,93,93,72,85,B
100,71,80,75,94,81,B
90,86,99,70,74,87,B
98,86,89,90,71,95,B
98,71,96,73,91,71,B
90,77,74,77,85,74,C
90,90,77,95,90,73,B
94,83,98,83,81,93,B
100,71,76,90,78,70,B
92,100,100,92,86,70,A
75,80,78,75,88,76,C
86,71,91,90,85,79,B
95,70,78,72,76,87,C
99,77,78,75,82,89,B
99,88,90,70,93,71,B
82,83,86,77,96,97,B
