CS110,CS111,CS301,CS302,CS311,CS361,class
74,73,72,82,86,90,C
95,89,84,91,88,97,A
83,73,80,98,87,81,B
93,99,83,72,88,81,B
85,83,79,81,80,81,B
78,88,86,92,91,74,B
100,82,100,80,86,78,B
86,75,72,85,98,80,B
100,95,86,94,90,76,A
98,89,79,85,81,88,B
82,91,70,80,94,81,B
94,83,73,75,82,100,B
99,87,92,75,95,88,B
76,77,97,96,89,80,B
88,75,76,81,77,93,B
100,75,70,86,93,70,B
100,79,82,97,92,93,A
96,73,72,72,71,73,C
99,90,99,71,70,100,B
83,99,92,77,77,79,B
100,99,81,95,72,100,A
71,71,83,99,75,81,B
84,82,90,83,70,89,B
99,85,79,73,77,92,B
86,72,89,93,72,96,B
